contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,bs_price,nn_price,bs_error,nn_error,mispricing,trade_signal
AAPL250307C00120000,2025-03-03 20:44:54+00:00,120.0,116.65,115.25,116.6,0.0,0.0,1,2,3.250001875,True,REGULAR,USD,88.62922664876959,118.70147,28.020773351230417,2.051469421386713,2.051469999999995,BUY
AAPL250307C00130000,2025-02-24 15:57:53+00:00,130.0,117.4,105.25,106.55,0.0,0.0,1,3,2.843752890625,True,REGULAR,USD,77.92466838075958,107.261826,39.47533161924042,10.138174438476568,-10.138174000000006,SELL
AAPL250307C00140000,2025-03-05 15:34:25+00:00,140.0,92.0,95.25,96.55,-6.050003,-6.1703243,2,46,2.5195349511718748,True,REGULAR,USD,67.97988098310812,96.63118,24.020119016891883,4.6311798095703125,4.6311800000000005,BUY
AAPL250307C00145000,2025-02-07 16:55:25+00:00,145.0,84.24,90.25,91.65,0.0,0.0,3,1,2.455081987304688,True,REGULAR,USD,64.4903589719857,92.27898,19.749641028014292,8.038976440429693,8.03898000000001,BUY
AAPL250307C00150000,2025-02-28 20:59:54+00:00,150.0,91.6,85.25,86.5,0.0,0.0,20,9,2.1679733300781248,True,REGULAR,USD,57.22767406124567,86.65173,34.37232593875432,4.948266601562494,-4.948269999999994,SELL
AAPL250307C00155000,2025-02-28 20:34:55+00:00,155.0,84.18,80.25,81.55,0.0,0.0,6,9,2.0742235644531246,True,REGULAR,USD,53.15913609334385,82.13885,31.02086390665616,2.041152648925788,-2.041150000000002,SELL
AAPL250307C00160000,2025-02-28 17:24:52+00:00,160.0,77.31,75.25,76.6,0.0,0.0,1,21,1.97265638671875,True,REGULAR,USD,48.9549084558389,77.58102,28.355091544161105,0.2710165405273415,0.27101999999999293,HOLD
AAPL250307C00165000,2025-03-05 20:02:14+00:00,165.0,70.97,70.25,71.65,-2.3199997,-3.1655064,1,6,1.8671881640625,True,REGULAR,USD,44.68248662796276,73.00075,26.28751337203724,2.030747680664064,2.0307499999999976,BUY
AAPL250307C00170000,2025-03-03 19:51:29+00:00,170.0,70.85,65.2,66.55,0.0,0.0,16,28,1.623048759765625,True,REGULAR,USD,37.75261967840597,67.61951,33.097380321594024,3.2304931640624943,-3.230489999999989,SELL
AAPL250307C00175000,2025-03-04 15:14:00+00:00,175.0,64.2,60.25,61.65,0.0,0.0,1,280,1.5937520312499998,True,REGULAR,USD,34.94835547477558,63.285503,29.25164452522442,0.914496612548831,-0.9144970000000043,SELL
AAPL250307C00180000,2025-03-05 20:48:12+00:00,180.0,55.57,55.25,56.6,-2.0999985,-3.6414056,4,93,1.43359658203125,True,REGULAR,USD,29.617734544660152,58.204685,25.952265455339848,2.6346852111816403,2.6346849999999975,BUY
AAPL250307C00185000,2025-03-05 20:46:54+00:00,185.0,50.5,50.2,51.3,-2.6899986,-5.0573397,30,88,0.92187578125,True,REGULAR,USD,17.099883245585332,50.61215,33.40011675441467,0.1121482849121093,0.11214999999999975,HOLD
AAPL250307C00190000,2025-03-05 17:49:43+00:00,190.0,44.5,45.3,46.6,-5.049999,-10.191725,9,176,1.205082099609375,True,REGULAR,USD,20.96986464891384,48.082382,23.53013535108616,3.582382202148437,3.5823820000000026,BUY
AAPL250307C00195000,2025-03-05 16:41:28+00:00,195.0,39.66,40.3,41.3,-6.040001,-13.216633,162,251,0.9023447265625,True,REGULAR,USD,12.974174948572085,40.572266,26.685825051427912,0.9122656250000034,0.9122660000000025,BUY
AAPL250307C00200000,2025-03-05 19:15:48+00:00,200.0,36.55,35.25,36.3,-1.8699989,-4.8672543,135,300,0.7421900781249999,True,REGULAR,USD,8.249918785365914,34.30515,28.300081214634083,2.2448509216308565,-2.2448499999999996,SELL
AAPL250307C00205000,2025-03-04 17:52:49+00:00,205.0,26.52,30.2,31.7,-5.0599995,-16.022797,1,321,0.8339860351562498,True,REGULAR,USD,8.661324040244388,30.153637,17.85867595975561,3.6336369323730473,3.6336370000000002,BUY
AAPL250307C00210000,2025-03-05 17:01:00+00:00,210.0,24.7,25.2,26.7,-4.25,-14.680483,11,284,0.711916943359375,True,REGULAR,USD,5.313065190854267,24.910542,19.38693480914573,0.2105415344238288,0.21054200000000023,HOLD
AAPL250307C00212500,2025-03-05 19:34:29+00:00,212.5,23.4,22.85,23.9,-0.75,-3.10559,93,14,0.6015664843750002,True,REGULAR,USD,3.1407103610479368,22.693184,20.259289638952065,0.7068161010742173,-0.7068159999999999,SELL
AAPL250307C00215000,2025-03-05 19:41:22+00:00,215.0,20.95,20.45,21.3,-2.8499985,-11.974784,93,475,0.5449264257812501,True,REGULAR,USD,2.054946015177137,20.506655,18.895053984822862,0.4433452606201165,-0.44334500000000077,HOLD
AAPL250307C00217500,2025-03-05 16:40:01+00:00,217.5,17.85,17.8,18.9,-2.6999989,-13.13868,12,37,0.6894562304687502,True,REGULAR,USD,3.652537223073537,18.246607,14.197462776926464,0.3966068267822251,0.3966069999999995,HOLD
AAPL250307C00220000,2025-03-05 20:57:14+00:00,220.0,16.0,15.55,16.45,-0.8500004,-5.0445127,64,347,0.6289099609375001,True,REGULAR,USD,2.498484783268061,15.820843,13.50151521673194,0.1791572570800781,-0.179157,HOLD
AAPL250307C00222500,2025-03-05 19:11:37+00:00,222.5,13.9,13.1,13.95,-0.5500002,-3.8062298,270,889,0.5532271240234375,True,REGULAR,USD,1.407003952198341,13.35217,12.49299604780166,0.5478300094604496,-0.5478300000000011,SELL
AAPL250307C00225000,2025-03-05 20:59:26+00:00,225.0,11.32,10.85,11.4,0.42000008,3.8532119,586,1117,0.4653373779296875,True,REGULAR,USD,0.5629057520615586,11.163726,10.757094247938442,0.1562741470336917,-0.1562739999999998,HOLD
AAPL250307C00227500,2025-03-05 20:36:09+00:00,227.5,8.55,8.55,8.95,-0.34999943,-3.932578,875,238,0.3969786865234375,True,REGULAR,USD,0.1838804546150481,8.955039,8.366119545384953,0.4050390243530266,0.4050389999999986,HOLD
AAPL250307C00230000,2025-03-05 20:59:26+00:00,230.0,6.8,6.5,6.75,-0.6999998,-9.333331,18426,2464,0.3635317553710938,True,REGULAR,USD,0.0746123234339486,6.859731,6.725387676566052,0.0597311973571779,0.0597310000000002,HOLD
AAPL250307C00232500,2025-03-05 20:59:32+00:00,232.5,4.85,4.6,4.75,-0.6500001,-11.818183,16897,3761,0.3354558642578125,True,REGULAR,USD,0.0270699204060727,4.8575974,4.822930079593927,0.0075973510742191,0.0075974000000007536,HOLD
AAPL250307C00235000,2025-03-05 20:59:57+00:00,235.0,3.0,3.0,3.15,-1.04,-25.742575,45701,3734,0.3247137841796874,True,REGULAR,USD,0.0135837225533389,2.8787153,2.986416277446661,0.1212847232818603,-0.12128469999999991,HOLD
AAPL250307C00237500,2025-03-05 20:59:56+00:00,237.5,1.74,1.76,1.81,-0.8799999,-33.58778,36707,4181,0.3032296240234374,False,REGULAR,USD,0.0041183689861929,1.7550837,1.735881631013807,0.015083680152893,0.015083699999999922,HOLD
AAPL250307C00240000,2025-03-05 20:59:58+00:00,240.0,0.9,0.86,0.93,-0.6700001,-42.675163,47417,15222,0.2910227148437499,False,REGULAR,USD,0.0015056811564868,0.9399808,0.8984943188435133,0.0399808049201965,0.03998079999999993,HOLD
AAPL250307C00242500,2025-03-05 20:59:55+00:00,242.5,0.39,0.39,0.43,-0.52000004,-57.14286,18539,9425,0.2851633984374999,False,REGULAR,USD,0.0006788220570657,0.49505532,0.3893211779429343,0.1050553178787231,0.10505532000000001,HOLD
AAPL250307C00245000,2025-03-05 20:58:46+00:00,245.0,0.16,0.17,0.19,-0.27,-62.790703,27185,17030,0.2866282275390625,False,REGULAR,USD,0.0004427045229377,0.2856294,0.1595572954770623,0.125629391670227,0.12562939999999997,HOLD
AAPL250307C00247500,2025-03-05 20:59:11+00:00,247.5,0.08,0.08,0.09,-0.120000005,-60.0,18165,11564,0.2968820312499999,False,REGULAR,USD,0.0004775694982564,0.24416302,0.0795224305017436,0.1641630214452743,0.16416302,HOLD
AAPL250307C00250000,2025-03-05 20:57:59+00:00,250.0,0.05,0.04,0.05,-0.040000003,-44.444447,9076,22160,0.3144599804687499,False,REGULAR,USD,0.0007510201702739,0.19778596,0.0492489798297261,0.1477859586477279,0.14778596,HOLD
AAPL250307C00252500,2025-03-05 20:59:29+00:00,252.5,0.02,0.02,0.03,-0.030000001,-60.0,7424,16097,0.33399103515625,False,REGULAR,USD,0.0012297018477871,0.15130816,0.0187702981522129,0.1313081640005111,0.13130816,HOLD
AAPL250307C00255000,2025-03-05 20:42:45+00:00,255.0,0.01,0.01,0.02,-0.02,-66.66667,10204,17593,0.3554751953124999,False,REGULAR,USD,0.0020587350832428,0.12312995,0.0079412649167572,0.1131299489736557,0.11312995,HOLD
AAPL250307C00257500,2025-03-05 20:47:03+00:00,257.5,0.01,0.0,0.01,0.0,0.0,590,3547,0.367193828125,False,REGULAR,USD,0.0022652098767572,0.10604797,0.0077347901232428,0.096047973036766,0.09604797000000001,HOLD
AAPL250307C00260000,2025-03-05 20:47:00+00:00,260.0,0.01,0.0,0.01,0.0,0.0,1530,14596,0.398443515625,False,REGULAR,USD,0.0048549502530461,0.08039747,0.0051450497469539,0.0703974717855453,0.07039747,HOLD
AAPL250307C00262500,2025-03-05 20:43:43+00:00,262.5,0.01,0.0,0.01,0.0,0.0,8,8599,0.437505625,False,REGULAR,USD,0.011324853731004,0.05038224,0.0013248537310039,0.0403822416067123,0.04038224,HOLD
AAPL250307C00265000,2025-03-05 15:13:50+00:00,265.0,0.01,0.0,0.01,0.0,0.0,112,6637,0.4687553125,False,REGULAR,USD,0.0189543384635398,0.025609598,0.0089543384635398,0.0156095975637435,0.015609598,HOLD
AAPL250307C00267500,2025-03-04 19:04:34+00:00,267.5,0.01,0.0,0.01,0.0,0.0,4,1328,0.500005,False,REGULAR,USD,0.029598065519618,0.0017026514,0.019598065519618,0.0082973486185073,-0.0082973486,HOLD
AAPL250307C00270000,2025-03-05 20:07:51+00:00,270.0,0.01,0.0,0.01,0.0,0.0,3,2541,0.500005,False,REGULAR,USD,0.0239584874904429,-0.0042419583,0.0139584874904428,0.0142419582605361,-0.0142419583,HOLD
AAPL250307C00272500,2025-03-03 14:44:17+00:00,272.5,0.01,0.0,0.01,0.0,0.0,20,109,0.5312546875,False,REGULAR,USD,0.0361012788951978,-0.02807726,0.0261012788951977,0.0380772596597671,-0.03807726,HOLD
AAPL250307C00275000,2025-03-05 16:12:37+00:00,275.0,0.01,0.0,0.01,0.0,0.0,1,2019,0.5625043750000001,False,REGULAR,USD,0.0518447346699298,-0.051525608,0.0418447346699298,0.0615256077051162,-0.061525608,HOLD
AAPL250307C00277500,2025-02-28 18:51:02+00:00,277.5,0.01,0.0,0.01,0.0,0.0,1,240,0.5937540625000001,False,REGULAR,USD,0.0715639970271753,-0.07424499,0.0615639970271752,0.0842449909448623,-0.08424498999999999,HOLD
AAPL250307C00280000,2025-03-03 16:00:23+00:00,280.0,0.01,0.0,0.01,0.0,0.0,1,537,0.6250037500000001,False,REGULAR,USD,0.0955781341789945,-0.09375073,0.0855781341789945,0.1037507301568985,-0.10375073,HOLD
AAPL250307C00282500,2025-03-03 14:30:00+00:00,282.5,0.01,0.0,0.01,0.0,0.0,1,123,0.6562534375000001,False,REGULAR,USD,0.1241526783185615,-0.1117356,0.1141526783185615,0.1217355972528457,-0.1217356,HOLD
AAPL250307C00285000,2025-02-26 15:49:06+00:00,285.0,0.01,0.0,0.01,0.0,0.0,610,747,0.6875031250000001,False,REGULAR,USD,0.1575041437360789,-0.12800182,0.1475041437360789,0.1380018240213394,-0.13800182,HOLD
AAPL250307C00290000,2025-03-03 18:44:06+00:00,290.0,0.01,0.0,0.01,0.0,0.0,2,234,0.7500025,False,REGULAR,USD,0.2391916210512632,-0.1049564,0.2291916210512632,0.1149564033746719,-0.1149564,HOLD
AAPL250307C00295000,2025-02-26 16:35:31+00:00,295.0,0.01,0.0,0.01,0.0,0.0,5,170,0.79687703125,False,REGULAR,USD,0.2987771285092688,-0.07159592,0.2887771285092688,0.0815959221124649,-0.08159591999999999,HOLD
AAPL250307C00300000,2025-03-04 14:41:03+00:00,300.0,0.01,0.0,0.01,0.0,0.0,1,638,0.8437515624999999,False,REGULAR,USD,0.3659879175521339,-0.04083611,0.3559879175521339,0.0508361107110977,-0.050836110000000004,HOLD
AAPL250307C00305000,2025-02-25 16:34:20+00:00,305.0,0.01,0.0,0.01,0.0,0.0,1,528,0.9062509375,False,REGULAR,USD,0.4936037103415005,-0.013749018,0.4836037103415005,0.0237490183115005,-0.023749018,HOLD
AAPL250307C00310000,2025-02-28 17:00:10+00:00,310.0,0.01,0.0,0.01,0.0,0.0,2,46,0.9687503125,False,REGULAR,USD,0.6426942164873655,0.013338074,0.6326942164873655,0.0033380740880966,0.003338074,HOLD
AAPL250307C00315000,2025-03-03 14:30:08+00:00,315.0,0.01,0.0,0.01,0.0,0.0,10,13,1.000005,False,REGULAR,USD,0.677109039270456,0.046822533,0.667109039270456,0.0368225330114364,0.036822533,HOLD
AAPL250307C00320000,2025-01-31 14:39:12+00:00,320.0,0.02,0.0,0.01,0.0,0.0,2,4,1.0625046875000002,False,REGULAR,USD,0.8519201685607793,0.07457195,0.8319201685607793,0.0545719522237777,0.054571949999999994,HOLD
AAPL250307C00330000,2025-03-05 18:43:50+00:00,330.0,0.01,0.0,0.01,0.0,0.0,13,359,1.15625421875,False,REGULAR,USD,1.0934935798233658,0.13233267,1.0834935798233658,0.1223326677083969,0.12233267000000002,HOLD
